num,Thickness (mm),xCell,yCell,zCell,Angle (°),Height (mm),Radius (mm),RD,SA (cm^2),SA/VR (1/cm),Porosity,Elastic Modulus (GPa),Yield Strain (-),Yield Stress (MPa),Ultimate Strain (-),Ultimate Stress (MPa),Energy Absorption (MJ/m^3),Plateau Stress (MPa)
961,0.2,3,3,3,30,10,10,15.43388736,80.89209851,167.6254711,84.56611264,2.650248609,0.029694266,73.39669107,0.180422878,101.4827213,44.86900373,88.53642193
962,0.3,3,3,3,30,10,10,23.20359065,80.96337303,110.5693397,76.79640935,4.301533569,0.02951685,118.3646537,0.188053334,168.3524007,72.0253807,141.2062027
963,0.4,3,3,3,30,10,10,30.94259935,80.37468416,82.29374861,69.05740065,6.063213551,0.029626489,167.5053003,0.188045526,241.8594786,100.610709,194.9265872
964,0.2,4,3,3,30,10,10,14.04636903,75.20747717,170.428342,85.95363097,2.236272241,0.029609203,61.74169522,0.190588892,83.73020704,37.20100401,73.57532826
965,0.3,4,3,3,30,10,10,21.0985274,74.57598986,112.9829456,78.9014726,3.618372115,0.029304177,98.79667373,0.199482155,138.1769609,60.07530982,119.663349
966,0.4,4,3,3,30,10,10,28.14319831,75.08640857,84.32939833,71.85680169,5.08341476,0.029294111,138.7472875,0.188047552,199.3498886,84.21740532,165.8509394
967,0.2,3,4,3,30,10,10,14.04179341,75.25158278,171.4720595,85.95820659,2.201930729,0.024683952,49.9484912,0.105461109,87.37895096,36.60937673,72.46812894
968,0.3,3,4,3,30,10,10,21.08562961,75.02684824,113.0144472,78.91437039,3.600830907,0.026897566,89.65192582,0.094040251,142.5850964,43.68575356,121.5599279
969,0.4,3,4,3,30,10,10,28.12418139,74.8518042,84.51129222,71.87581861,4.967658443,0.0301622,139.9001881,0.12199235,216.8348467,84.78071657,172.1118275
970,0.2,4,4,3,30,10,10,12.79523385,68.31092485,170.7620846,87.20476615,1.380643088,0.041188357,54.10513375,0.127416372,66.252293,30.74762765,64.385395
971,0.3,4,4,3,30,10,10,19.19206127,67.99087372,113.7862511,80.80793873,2.269874667,0.039972875,86.19366779,0.154224229,109.5809509,49.59887139,101.1987725
972,0.4,4,4,3,30,10,10,25.57128478,68.58663613,85.09595209,74.42871522,3.225411855,0.039614815,121.3232692,0.175870419,157.5588091,69.66787411,140.542617
973,0.2,3,3,4,30,10,10,14.04100627,74.71315715,171.3915944,85.95899373,2.072588077,0.038338743,75.31524476,0.14279747,90.88099336,39.33373832,75.75177403
974,0.3,3,3,4,30,10,10,21.06398995,75.26060979,113.0030106,78.93601005,3.406229188,0.037610298,121.296838,0.163190579,151.5792459,63.73693867,120.8717626
975,0.4,3,3,4,30,10,10,28.12560664,74.3866514,84.14533404,71.87439336,4.814176549,0.037601077,171.3898691,0.164470077,218.5845684,88.8044693,163.7467361
976,0.2,4,3,4,30,10,10,12.74307933,68.20847623,170.945151,87.25692067,1.90779026,0.033158973,59.44478612,0.12348901,76.51856974,33.0862071,64.58830448
977,0.3,4,3,4,30,10,10,19.21261003,68.63190613,112.4896085,80.78738997,3.112982994,0.032784932,95.83297008,0.154047513,126.9543522,54.22019126,104.8918631
